,0,1,2
688,Louisiana,Claiborne,-37.273044467578984
277,Florida,Volusia,641.5526438801458
887,Mississippi,Simpson,436.3096858717636
21,Alabama,Cullman,4720.773032131281
1287,Ohio,Pickaway,-87.70930867106813
17,Alabama,Conecuh,332.64106550629003
208,Colorado,Routt,114.03388627931372
475,Idaho,Payette,-40.47175653219256
1070,Nebraska,Logan,704.6237472026692
1604,Texas,Foard,-177.74203757786358
1344,Oklahoma,Jefferson,86.71117942684077
909,Missouri,Audrain,572.0054861593867
346,Georgia,Gwinnett,1186.5323045338146
912,Missouri,Bates,10283.427897834372
1046,Nebraska,Furnas,-303.547990209453
1706,Texas,Palo Pinto,188.74380580885963
822,Michigan,Van Buren,-113.15953202905212
918,Missouri,Caldwell,414.45736165797643
976,Missouri,New Madrid,-237.05975268885618
590,Iowa,Carroll,1021.2490656305704
1347,Oklahoma,Kingfisher,1602.5642019083757
385,Georgia,Muscogee,-807.6202498084799
1352,Oklahoma,Love,-38.97139147558346
824,Michigan,Wayne,927.2147985707829
1215,North Carolina,Warren,1629.4198721518046
546,Illinois,Ogle,2593.4672466891348
227,Florida,Clay,2961.95565368054
1606,Texas,Franklin,494.5119124484172
131,Arkansas,Ouachita,-250.26817176919167
459,Idaho,Franklin,3268.18501555229
278,Florida,Wakulla,812.332712617248
717,Louisiana,Terrebonne,7103.445395813353
1376,Oklahoma,Seminole,1139.354414546268
1247,Ohio,Franklin,-61.40749080057594
1456,Tennessee,Fentress,-532.6635586099742
544,Illinois,Morgan,891.5457819068201
1382,Oklahoma,Wagoner,-305.24472775745403
567,Illinois,Wabash,1679.4982077403943
306,Georgia,Chattahoochee,896.3016251093873
282,Georgia,Atkinson,38976.3725682036
430,Georgia,Wayne,-168.10666514190598
40,Alabama,Limestone,276.64971012491833
791,Michigan,Livingston,-191.97534521895795
401,Georgia,Rockdale,8189.950962991747
1355,Oklahoma,Mayes,-382.0077805703786
1836,Virginia,Charles City,1393.0436867229291
722,Louisiana,Webster,1076.8788606996513
