,0,1,2
1858,Virginia,Spotsylvania,2071.6166214815566
569,Iowa,Linn,3171.754128705943
7,Alabama,Calhoun,4448.638824258505
254,Georgia,Coweta,750.8445956140531
723,Kentucky,Union,20099.642515183667
837,Michigan,Livingston,4544.812320963414
522,Iowa,Buchanan,1725.507949361352
1879,New Hampshire,Strafford,2254.8814823250505
1256,Ohio,Van Wert,1413.6810438358734
1080,North Carolina,Anson,37032.320951425296
1070,Nevada,Lyon,1336.5121049918853
343,Georgia,Stewart,1936.6522657143905
285,Georgia,Hancock,909.2930907639893
1364,South Carolina,Hampton,2191.623964887982
1553,Texas,Fannin,16109.326940964678
1425,Tennessee,Hickman,1550.5458001564548
901,Mississippi,Jasper,767.968223241729
1776,Virginia,Appomattox,2067.9443373154136
1856,Virginia,Smyth,4446.727588319884
911,Mississippi,Leflore,-1072.3550540663346
1816,Virginia,Highland,1317.5646454231282
555,Iowa,Harrison,1992.8081799261781
94,Arkansas,Conway,3580.753319290023
1077,North Carolina,Alamance,15148.108263384504
1045,Missouri,Scott,2150.3102715452296
693,Kentucky,Menifee,20247.874962642385
1747,Utah,Piute,764.898480997872
345,Georgia,Talbot,11327.23449343317
173,Florida,Glades,2816.9239506595914
959,Missouri,Benton,1336.7829375581496
248,Georgia,Clinch,1121.5482446729875
1063,Nevada,Douglas,-665.8345603379057
188,Florida,Leon,1757.5801138535462
473,Illinois,McDonough,5377.157803880073
1675,Texas,Robertson,100.98140582451742
1571,Texas,Grimes,1622.7716710160057
129,Arkansas,Nevada,7709.661369283032
337,Georgia,Rockdale,515.9505641891883
1165,North Carolina,Union,719.7543447688513
1569,Texas,Grayson,2143.123067821627
712,Kentucky,Rockcastle,637.8663800918366
699,Kentucky,Muhlenberg,1174.6612839185545
1862,Virginia,Sussex,2206.3469492095464
1279,Oklahoma,Comanche,1848.9755541510385
1555,Texas,Fisher,-148.74637244845871
226,Georgia,Berrien,778.4715315225221
1684,Texas,Schleicher,420.56276675892514
1849,Virginia,Richmond,3216.1547825920934
950,Mississippi,Yalobusha,2464.157386713101
788,Massachusetts,Norfolk,5015.255112037936
1645,Texas,Mitchell,2014.0642727750892
1347,South Carolina,Berkeley,2800.9825287096282
376,Idaho,Adams,1595.4668137688313
1242,Ohio,Portage,2526.490512142678
243,Georgia,Chattooga,521.2493298392255
1072,Nevada,Nye,819.7317018101821
1013,Missouri,Marion,2119.846858018591
1732,Utah,Beaver,2203.8332972636417
1222,Ohio,Lorain,-527.78706187836
1563,Texas,Garza,-200.0312299057041
16,Alabama,Colbert,1211.8866924496033
412,Idaho,Power,-600.2284995490518
641,Kentucky,Edmonson,4516.3570502303555
478,Illinois,Monroe,3366.055508972793
1626,Texas,Live Oak,3052.6309427039414
26,Alabama,Etowah,427.5287287481842
1334,Oklahoma,Tulsa,640.5466304956572
113,Arkansas,Jackson,271.7756070974574
106,Arkansas,Grant,271.48460659326156
887,Mississippi,Covington,2775.7353708774244
1314,Oklahoma,Noble,2856.7266059011818
926,Mississippi,Pike,1540.4718643095403
10,Alabama,Chilton,3165.455048601336
1540,Texas,Denton,-16.402361265518266
75,Arizona,Pima,-1852.710983240344
118,Arkansas,Lee,3519.985674350006
1437,Tennessee,Loudon,925.1675050064005
1534,Texas,Culberson,807.8424160704817
1329,Oklahoma,Seminole,-745.8709689544885
1809,Virginia,Greene,7763.946097761107
263,Georgia,Douglas,-435.4066034553289
112,Arkansas,Izard,-459.058093394724
400,Idaho,Jerome,-1181.6995593156607
1578,Texas,Hardin,1348.6663582740694
1140,North Carolina,New Hanover,-446.4904714571894
1819,Virginia,King and Queen,5282.423255840873
839,Michigan,Mackinac,1892.66242260336
1844,Virginia,Prince Edward,91.04795008035217
447,Illinois,Hancock,738.993251468084
1356,South Carolina,Dillon,318.1157369526227
784,Massachusetts,Essex,346.4150713397976
736,Louisiana,Beauregard,1665.1219045393555
1363,South Carolina,Greenwood,2313.5002523723124
1037,Missouri,Ralls,-1754.416230952229
1335,Oklahoma,Wagoner,-603.6281834970032
222,Georgia,Banks,1866.59908298367
290,Georgia,Henry,546.6791737041895
1378,South Carolina,Pickens,491.16734682442257
1188,Ohio,Clermont,48392.82581845118
1798,Virginia,Essex,1497.6404956106708
209,Florida,Sumter,712.6875721951765
1206,Ohio,Hamilton,1777.0131328356656
1344,South Carolina,Bamberg,66486.95351011155
1352,South Carolina,Chesterfield,3511.833492974518
525,Iowa,Calhoun,8527.645638327953
359,Georgia,Union,1663.6201505218414
605,Iowa,Webster,1192.8543956168505
1395,Tennessee,Carter,9558.467451087276
325,Georgia,Paulding,4425.227336539392
1585,Texas,Henderson,-1580.3663688116067
745,Louisiana,Concordia,2904.2070514157676
191,Florida,Madison,3089.9363428860706
1628,Texas,Loving,1296.2160600940479
372,Georgia,Wilkes,1666.3160248170498
224,Georgia,Bartow,2003.7284866939663
886,Mississippi,Copiah,4018.4734462255765
1415,Tennessee,Grundy,-1994.5429761808955
1416,Tennessee,Hamblen,-573.4023069380528
441,Illinois,Franklin,1771.430577849027
584,Iowa,Page,1327.0420607270898
1588,Texas,Hockley,1093.9382727722186
1402,Tennessee,Crockett,2774.539711529829
1868,Virginia,Wise,228.79138467657685
1850,Virginia,Roanoke,-921.7071458306928
1440,Tennessee,Marion,1018.6963667986347
1069,Nevada,Lincoln,1831.8235632114229
474,Illinois,McHenry,2776.6555724568607
401,Idaho,Kootenai,2251.407773750565
336,Georgia,Richmond,2339.11842428385
466,Illinois,Macon,8810.440175588341
172,Florida,Gilchrist,4531.677304611512
727,Kentucky,Webster,523.752868394633
925,Mississippi,Perry,928.2589636933662
1127,North Carolina,Jones,216.63957525286605
809,Michigan,Clinton,1211.8858245673691
70,Arizona,Greenlee,1327.605497657205
791,Michigan,Alcona,296.49275077120546
523,Iowa,Buena Vista,84.36142667361855
1469,Tennessee,Trousdale,65.285318944545
1346,South Carolina,Beaufort,6379.897454846949
1233,Ohio,Morgan,1539.272837074397
1413,Tennessee,Grainger,-1095.0430955690717
1565,Texas,Glasscock,3408.511215345665
1460,Tennessee,Scott,3199.421932277157
1155,North Carolina,Rowan,2836.8351635866093
186,Florida,Lake,-446.96749128381634
1016,Missouri,Miller,1141.2164310072767
756,Louisiana,Lafayette,1042.691042602819
761,Louisiana,Morehouse,-179.213231594018
1477,Tennessee,White,-621.8232286274251
1531,Texas,Crane,7639.435037100906
1296,Oklahoma,Jackson,1141.7589549325785
1483,Texas,Aransas,474.1109366235978
1247,Ohio,Sandusky,5572.180074413414
126,Arkansas,Mississippi,15708.986193635781
1638,Texas,McLennan,2435.572491182382
1653,Texas,Newton,3255.1482589882726
1679,Texas,Sabine,191.48785399332337
1577,Texas,Hardeman,26728.793966125457
335,Georgia,Randolph,12674.290418201072
115,Arkansas,Johnson,1982.326100317834
411,Idaho,Payette,1614.4943166320409
249,Georgia,Cobb,2350.5140254107646
211,Florida,Taylor,6319.521611712864
87,Arkansas,Carroll,407.9911609044939
773,Louisiana,Terrebonne,260.8266462802967
988,Missouri,Gentry,1058.8323765352106
1226,Ohio,Marion,2926.9799980010575
413,Idaho,Shoshone,2117.9919920643006
1624,Texas,Limestone,1753.003323039764
1169,North Carolina,Washington,397.3277680061983
1662,Texas,Parmer,1828.095527082689
1139,North Carolina,Nash,155.47077748086667
442,Illinois,Fulton,23511.382079188937
976,Missouri,Clinton,-1993.548344363291
871,Michigan,Wexford,6540.551293388566
858,Michigan,Oscoda,1610.0879192305292
973,Missouri,Christian,3523.266405775619
731,Louisiana,Acadia,2734.272036787308
1598,Texas,Jackson,-797.393536156258
1374,South Carolina,McCormick,1197.2556918021728
422,Illinois,Brown,983.5302483475971
1528,Texas,Cooke,2279.563187410302
1266,Oklahoma,Atoka,2316.5908345035714
1502,Texas,Briscoe,2155.1881149926376
1333,Oklahoma,Tillman,1650.3847095411948
1320,Oklahoma,Ottawa,467.9469839552803
1614,Texas,Kinney,291.6259706667479
295,Georgia,Jeff Davis,1122.0355977338659
826,Michigan,Iron,899.373838498137
1865,Virginia,Warren,4106.208165016407
1406,Tennessee,Dickson,8901.535491649684
108,Arkansas,Hempstead,7517.211841196193
692,Kentucky,Meade,3323.166052604769
1200,Ohio,Franklin,4913.950491853731
407,Idaho,Minidoka,2113.7695245543437
341,Georgia,Spalding,4520.754990748617
1501,Texas,Brewster,1322.595550669601
479,Illinois,Montgomery,3912.545763590075
568,Iowa,Lee,913.430636161087
1293,Oklahoma,Harper,1951.712731787451
1596,Texas,Irion,1232.8640479722235
870,Michigan,Wayne,5961.934290858342
1750,Utah,San Juan,67946.70850703298
919,Mississippi,Neshoba,844.2801043458821
822,Michigan,Huron,2191.5953773467845
1130,North Carolina,Lincoln,1915.5066854280158
170,Florida,Franklin,208.80370933750964
281,Georgia,Greene,557.9441895344098
98,Arkansas,Cross,8245.476345122894
453,Illinois,Jasper,-1040.711362434031
764,Louisiana,Ouachita,2756.738018937065
183,Florida,Jackson,300.27139386226554
1284,Oklahoma,Delaware,2337.902051477824
799,Michigan,Bay,719.4715051532912
729,Kentucky,Wolfe,1734.6724768585864
147,Arkansas,Stone,10755.635654701158
1807,Virginia,Goochland,2482.8366085721245
64,Alabama,Winston,765.3416578744727
356,Georgia,Troup,648.6353168181995
671,Kentucky,Knox,1785.0785635532702
1658,Texas,Orange,1836.277667217575
