,0,1,2
1114,Nevada,Humboldt,-958.4617158497913
890,Mississippi,Sunflower,18.58436361245458
1130,North Carolina,Beaufort,-166.50751911161933
153,Arkansas,Yell,763.4547094574345
1857,Virginia,Greensville,1505.9815149302822
679,Louisiana,Avoyelles,835.9392433679159
1084,Nebraska,Platte,2018.4761824929
1438,Tennessee,Bradley,9020.139119862984
1377,Oklahoma,Sequoyah,2668.311833396874
1282,Ohio,Muskingum,7898.781387199407
1515,Tennessee,Tipton,1213.3489413247867
1554,Texas,Caldwell,4147.314316903572
917,Missouri,Butler,1775.7624546603356
7,Alabama,Calhoun,2318.279492460886
1177,North Carolina,Lincoln,823.57112735175
780,Michigan,Iron,1199.4243623939192
293,Georgia,Brantley,29707.44037386911
1664,Texas,Lamar,319.4635837997739
605,Iowa,Des Moines,-1015.1762461615835
1,Alabama,Baldwin,2458.0402615350094
390,Georgia,Peach,-245.6295413131529
979,Missouri,Oregon,5958.093431888128
1475,Tennessee,Jackson,3224.805339088398
725,Louisiana,West Feliciana,-613.2979685538658
1070,Nebraska,Logan,1437.116787379966
1534,Texas,Austin,1133.1847209269745
1162,North Carolina,Greene,363.7221108866006
1934,New York,Franklin,-746.2318892016829
573,Illinois,Will,6945.600410407014
164,Colorado,Clear Creek,4931.4464053054435
793,Michigan,Mackinac,441.80379393763724
1080,Nebraska,Pawnee,-240.25160898477588
1593,Texas,Eastland,188.19064845387584
535,Illinois,Mason,2132.3096989822025
247,Florida,Jackson,2426.505473527564
252,Florida,Leon,1417.3884108268035
1398,South Carolina,Chester,1909.2708606429942
849,Mississippi,Hinds,1988.5425278289676
808,Michigan,Oceana,-62.51895715725186
1184,North Carolina,Montgomery,2217.3342220541704
819,Michigan,Schoolcraft,55.83685531094943
1607,Texas,Freestone,242.7866916623916
66,Arizona,Cochise,738.5268170318573
85,Arkansas,Bradley,15826.66342022465
1674,Texas,Llano,2553.5979200823294
883,Mississippi,Quitman,-123.36536742097724
731,Maine,Lincoln,3781.189327544082
1791,Utah,Kane,200.6041177166535
1910,Virginia,Tazewell,1171.0038686567627
81,Arkansas,Ashley,-2715.8967625501355
1085,Nebraska,Polk,387.0371982758588
1179,North Carolina,Madison,1329.944848886149
949,Missouri,Howard,663.3688861439928
879,Mississippi,Perry,-302.655059477991
1297,Ohio,Shelby,1176.1994178337864
687,Louisiana,Catahoula,14.796217677039749
964,Missouri,Macon,1613.0719685981785
1116,Nevada,Lincoln,4838.990551817683
563,Illinois,Stephenson,1275.8498369334611
400,Georgia,Richmond,905.3450050868555
674,Iowa,Wright,-17.574779542002034
707,Louisiana,Orleans,-2382.446587992342
868,Mississippi,Madison,297.5411696985284
847,Mississippi,Hancock,1370.497251763501
1027,Nebraska,Cedar,1625.0820692171428
918,Missouri,Caldwell,1793.1089068656747
750,Michigan,Arenac,4893.525377633601
714,Louisiana,Sabine,521.8161078440144
1505,Tennessee,Robertson,3206.3585673455946
89,Arkansas,Clark,-885.4964705044567
75,Arizona,Pima,-198.72887820797132
1681,Texas,Mason,220.6842628549075
867,Mississippi,Lowndes,1605.8571261466132
1665,Texas,Lamb,69425.08922650349
32,Alabama,Henry,253.81219800008148
1635,Texas,Hockley,1843.326758204464
760,Michigan,Cheboygan,467.99993327625907
1286,Ohio,Perry,1964.8901268255436
166,Colorado,Costilla,679.5695628499843
1684,Texas,McCulloch,5307.533361344581
1343,Oklahoma,Jackson,5460.695709019408
1675,Texas,Loving,1090.3733382243045
614,Iowa,Grundy,6535.838560252119
623,Iowa,Ida,2019.1522061140358
351,Georgia,Harris,339.4166479918704
1272,Ohio,Mahoning,1075.1124528770752
1821,Virginia,Amelia,8907.65891757841
1054,Nebraska,Hamilton,488.3605047615474
1264,Ohio,Knox,-982.4003002714362
124,Arkansas,Marion,425.19294770118995
19,Alabama,Covington,7751.245679730582
805,Michigan,Muskegon,2400.3576845020634
1390,South Carolina,Anderson,209.85497747271074
34,Alabama,Jackson,2533.690360178647
1122,Nevada,Washoe,2439.8568428791605
1906,Virginia,Stafford,4726.879253180807
1339,Oklahoma,Harmon,149.1788393924835
1508,Tennessee,Sequatchie,498.0991170480911
561,Illinois,Shelby,-318.2669482406218
911,Missouri,Barton,-282.8465677883469
114,Arkansas,Jefferson,-424.66514299960545
1362,Oklahoma,Nowata,541.0566380981081
1568,Texas,Coleman,1442.511884851745
601,Iowa,Dallas,980.2760624252364
1316,Oklahoma,Blaine,17189.748467544596
1287,Ohio,Pickaway,127.81181388153072
829,Mississippi,Attala,3048.425666113234
482,Illinois,Adams,3328.3939455538607
222,Florida,Brevard,-718.2526329707653
1280,Ohio,Morgan,4673.284557473831
1528,Texas,Andrews,1445.768591478868
1396,South Carolina,Charleston,-61.60021582884929
866,Mississippi,Lincoln,-244.86271553782626
994,Missouri,Reynolds,2777.3715658916103
1498,Tennessee,Overton,124.00958026122953
263,Florida,Orange,1162.085994476507
1826,Virginia,Bath,-1126.0832618589338
1223,Ohio,Adams,-1009.0920404319249
1864,Virginia,Isle of Wight,9550.85468872752
800,Michigan,Midland,22474.64251239173
508,Illinois,Greene,1553.3846109754304
878,Mississippi,Pearl River,2296.0297787112268
1555,Texas,Calhoun,4427.419103939497
10,Alabama,Chilton,3527.9843222570757
492,Illinois,Christian,1313.592375249923
1739,Texas,Stephens,5307.940302246412
1520,Tennessee,Warren,3936.8544286520864
1845,Virginia,Essex,4281.715727216893
715,Louisiana,Tangipahoa,4201.70606795221
472,Idaho,Nez Perce,-1913.6682383840634
1201,North Carolina,Rockingham,801.3819653749233
428,Georgia,Warren,-779.3786420689685
358,Georgia,Jasper,2429.2827767912636
986,Missouri,Pike,2502.170603124676
74,Arizona,Navajo,1930.5221140333356
1578,Texas,Crane,7523.070796412016
1816,Vermont,Washington,2099.0062188538004
766,Michigan,Dickinson,1103.5411938880443
529,Illinois,Logan,-600.4194300587405
875,Mississippi,Noxubee,3987.7512610289127
284,Georgia,Baker,16285.964479402057
1840,Virginia,Craig,2266.4522526121873
228,Florida,Collier,554.7380667345797
1489,Tennessee,Maury,-280.1465007022998
1502,Tennessee,Putnam,21343.31823777628
1560,Texas,Cass,1036.785295825057
609,Iowa,Fayette,949.0601179503456
21,Alabama,Cullman,-381.13809277222117
1512,Tennessee,Stewart,892.2764260284071
1010,Missouri,Wayne,8035.630382616659
1859,Virginia,Hampton,349.4183142185775
1741,Texas,Stonewall,-188.9574149844957
545,Illinois,Moultrie,325.430482319709
1730,Texas,San Saba,1615.8826177487235
846,Mississippi,Grenada,-1039.6168614811868
1172,North Carolina,Jackson,792.3898501880863
815,Michigan,Presque Isle,792.4778863605525
807,Michigan,Oakland,-603.9026398690348
373,Georgia,Macon,-88.95957123378321
1796,Utah,Salt Lake,-1096.7499376926007
111,Arkansas,Independence,19742.829212223023
1858,Virginia,Halifax,-218.3129207822467
382,Georgia,Montgomery,-977.3235129446657
427,Georgia,Ware,987.0617586468202
1437,Tennessee,Blount,18888.735848758966
1298,Ohio,Stark,979.2643095648
364,Georgia,Lamar,25129.5587094651
509,Illinois,Grundy,2989.2462328427955
352,Georgia,Hart,1790.5796293170497
203,Colorado,Pitkin,-634.3694902869847
639,Iowa,Marion,2610.2356637052453
313,Georgia,Cobb,120.27597549592247
1666,Texas,Lampasas,62.7082208591155
631,Iowa,Kossuth,1429.294116194389
1517,Tennessee,Unicoi,515.9067466639062
1029,Nebraska,Cherry,-203.0612034288315
790,Michigan,Lenawee,1222.7568513233336
1693,Texas,Montague,-1012.6214452646764
1126,North Carolina,Alleghany,32270.57397032674
342,Georgia,Glynn,23785.063340935856
