,0,1,2
685,Kentucky,Marion,3431.7787043177514
186,Florida,Lake,55.72224044634186
1546,Texas,Eastland,4941.192174575331
1461,Tennessee,Sequatchie,85080.9013068974
871,Michigan,Wexford,1985.726519480695
1298,Oklahoma,Johnston,2146.3701896835346
1618,Texas,Lamb,1571.851598187749
1389,Tennessee,Bledsoe,1005.4795169929885
1200,Ohio,Franklin,6164.819309715157
1124,North Carolina,Iredell,1820.211852600496
1876,New Hampshire,Hillsborough,-127.93571747397891
1325,Oklahoma,Pottawatomie,1516.7967786204263
981,Missouri,Dallas,1128.1350459462947
462,Illinois,Lawrence,1362.9459976088137
1142,North Carolina,Onslow,6266.468059057616
241,Georgia,Chatham,573.2489586466354
1538,Texas,Deaf Smith,4081.6944891677003
1746,Utah,Morgan,3668.7929143112806
1484,Texas,Archer,1417.9152673220624
1557,Texas,Foard,2924.896051779365
811,Michigan,Delta,1380.3865592594666
438,Illinois,Effingham,1054.148260898326
531,Iowa,Chickasaw,6815.602647485276
1284,Oklahoma,Delaware,8846.904912233338
764,Louisiana,Ouachita,5214.385798200829
762,Louisiana,Natchitoches,2218.6857508920893
580,Iowa,Monroe,1100.8005791026762
331,Georgia,Pulaski,-848.308980944933
708,Kentucky,Pike,19733.549429976025
1342,South Carolina,Allendale,3868.380997826299
1351,South Carolina,Chester,988.3054729134101
1000,Missouri,Jefferson,8949.274854068935
1063,Nevada,Douglas,2819.613968793691
916,Mississippi,Marshall,-895.4518347100538
888,Mississippi,Forrest,19942.86112118733
1071,Nevada,Mineral,1496.7075703311102
60,Alabama,Tuscaloosa,1121.7439998312084
1208,Ohio,Hardin,4485.024925649493
245,Georgia,Clarke,13955.969564850882
48,Alabama,Monroe,517.0441041905751
1710,Texas,Val Verde,3129.1834712854643
1465,Tennessee,Stewart,1311.7247289169163
498,Illinois,Stark,900.2121240106399
629,Kentucky,Campbell,219.83479762805473
1777,Virginia,Arlington,1435.9520014858808
417,Idaho,Washington,739.0039054108393
1634,Texas,Mason,4539.120390291607
221,Georgia,Baldwin,-230.31076800024312
1475,Tennessee,Wayne,4015.9092043294613
851,Michigan,Muskegon,1177.4658716849044
1318,Oklahoma,Okmulgee,1717.8903013990775
1119,North Carolina,Haywood,4188.467737742009
1510,Texas,Cameron,3815.294079865961
535,Iowa,Clinton,-598.8992118121232
129,Arkansas,Nevada,3337.6491279921474
724,Kentucky,Warren,1286.887996457097
1495,Texas,Blanco,257.61133165004594
268,Georgia,Emanuel,1090.8268552041309
295,Georgia,Jeff Davis,-370.3494548862882
1791,Virginia,Chesterfield,2019.0494279453897
880,Mississippi,Chickasaw,241.11185096185454
870,Michigan,Wayne,5034.6868189033
1383,South Carolina,Union,1946.8179727062789
1398,Tennessee,Claiborne,7436.331501287858
1793,Virginia,Craig,3678.0351023902376
1789,Virginia,Charles City,2374.7111887395386
975,Missouri,Clay,1691.37263944602
478,Illinois,Monroe,1538.755170233534
207,Florida,Sarasota,2506.5790303542562
297,Georgia,Jenkins,1712.5656865521887
496,Illinois,Scott,12856.043177962045
1219,Ohio,Lawrence,494.8236686773689
1249,Ohio,Seneca,8823.783859586383
1795,Virginia,Cumberland,6466.985227658936
1394,Tennessee,Carroll,2145.7543004942772
1048,Missouri,Stoddard,1761.0200934575596
1588,Texas,Hockley,3283.8848236333097
754,Louisiana,Jackson,-512.521680321739
1811,Virginia,Halifax,1567.0471115705996
457,Illinois,Kane,-243.17305343013322
410,Idaho,Owyhee,-109.64016894838005
1274,Oklahoma,Cherokee,375.2723278815265
80,Arkansas,Arkansas,-746.7799761708611
406,Idaho,Madison,2052.338829161755
1317,Oklahoma,Oklahoma,555.847536452723
84,Arkansas,Boone,26376.61715483301
53,Alabama,Pike,2204.372814641025
1182,Ohio,Belmont,1121.3620352410717
63,Alabama,Wilcox,866.8896644982715
401,Idaho,Kootenai,912.3567416801043
889,Mississippi,Franklin,2921.4981563420433
19,Alabama,Covington,2021.6092571734962
755,Louisiana,Jefferson,2623.3213690988987
828,Michigan,Jackson,3045.1116041978503
878,Mississippi,Calhoun,-880.1452713640583
12,Alabama,Clarke,1593.2908833665879
1360,South Carolina,Florence,3012.874456218663
666,Kentucky,Jefferson,762.9623065248752
996,Missouri,Howell,11176.229392672023
943,Mississippi,Walthall,20480.359652297047
946,Mississippi,Wayne,1149.199153340759
728,Kentucky,Whitley,2342.8919015018064
1472,Tennessee,Van Buren,1113.8106772478886
560,Iowa,Iowa,8177.893845326055
824,Michigan,Ionia,1090.0237563250548
1482,Texas,Angelina,743.8980038316795
471,Illinois,Mason,461.2314469181956
970,Missouri,Cass,-121.90279672981615
1786,Virginia,Campbell,2040.8300493209144
640,Kentucky,Daviess,2089.4274944127365
679,Kentucky,Lincoln,149730.98682256773
564,Iowa,Johnson,615.6045593427634
1417,Tennessee,Hamilton,-311.6192419534409
1614,Texas,Kinney,1232.0757449876337
16,Alabama,Colbert,1668.9483553069394
1827,Virginia,Madison,1436.668802831423
1542,Texas,Dickens,-176.71305656786262
1198,Ohio,Fairfield,1472.8421159660547
346,Georgia,Taliaferro,1207.1286311420508
1214,Ohio,Huron,-25.793176475496693
1387,Tennessee,Bedford,1644.133416785753
62,Alabama,Washington,1123.2251188198798
1338,Oklahoma,Woods,1292.638275130038
1441,Tennessee,Marshall,-370.95491111293813
20,Alabama,Crenshaw,1922.990593410872
1156,North Carolina,Rutherford,17699.24396331347
1754,Utah,Tooele,1845.3787367069626
1178,Ohio,Ashland,1194.81949223822
1842,Virginia,Pittsylvania,2489.8754763088627
1023,Missouri,Newton,3068.3397649914614
869,Michigan,Washtenaw,-167.08154924265182
1094,North Carolina,Catawba,1405.1378405623082
97,Arkansas,Crittenden,20380.571943823023
230,Georgia,Brooks,848.2096165530447
1313,Oklahoma,Muskogee,2724.483171506353
1632,Texas,Marion,778.6120391198283
461,Illinois,Lake,3993.6950655969313
1840,Virginia,Page,981.6060909273456
358,Georgia,Twiggs,3105.773448037692
1444,Tennessee,McNairy,2589.2899077209067
1545,Texas,Duval,830.1503231398001
1774,Virginia,Amelia,3386.6202180741248
280,Georgia,Grady,4690.942389214163
193,Florida,Marion,387.4068980484499
1089,North Carolina,Cabarrus,942.6943190278398
810,Michigan,Crawford,3835.088269862131
1656,Texas,Ochiltree,6766.098523584539
1352,South Carolina,Chesterfield,1759.8608078552215
1049,Missouri,Stone,2380.826548008182
356,Georgia,Troup,3045.990209206576
1493,Texas,Bell,3339.406598539047
1609,Texas,Kenedy,5368.660298114887
1135,North Carolina,Mecklenburg,2023.1324472266806
1861,Virginia,Surry,2600.315724092564
395,Idaho,Franklin,17225.970711294016
599,Iowa,Union,1651.2245035359601
322,Georgia,Newton,724.8371302113874
655,Kentucky,Greenup,172.7461001257534
1062,Nevada,Clark,472.3001221697223
1122,North Carolina,Hoke,-200.05585816321673
1370,South Carolina,Lee,1832.4778818320801
642,Kentucky,Elliott,2318.1192598257594
4,Alabama,Blount,2008.9297613531107
1695,Texas,Sutton,4507.794067853941
414,Idaho,Teton,2081.1414722410473
1728,Texas,Yoakum,3230.253617634452
772,Louisiana,Tensas,614.0725899105919
13,Alabama,Clay,309.10167054528574
1821,Virginia,King William,2264.591461522694
1792,Virginia,Clarke,2564.614074979191
1613,Texas,King,9473.236489355106
511,Illinois,Winnebago,1828.535968436052
146,Arkansas,Sharp,2151.120630652291
244,Georgia,Cherokee,1891.1274867766806
1415,Tennessee,Grundy,10186.920715085114
1237,Ohio,Ottawa,1651.425620573811
1263,Ohio,Wyandot,3114.4031953139483
687,Kentucky,Martin,864.3370792113355
774,Louisiana,Union,37.69729044716769
1500,Texas,Brazos,1649.878257648922
813,Michigan,Eaton,34565.546521335076
1186,Ohio,Champaign,12205.899172126548
673,Kentucky,Laurel,1200.0134703799677
929,Mississippi,Quitman,1580.8922849364508
65,Arizona,Apache,-1697.7643278908554
302,Georgia,Laurens,1800.8353501632319
839,Michigan,Mackinac,3894.727773921072
954,Missouri,Atchison,2822.213264547564
391,Idaho,Clark,139.3281523489777
846,Michigan,Midland,12.86573411050631
658,Kentucky,Harlan,5520.382687391752
736,Louisiana,Beauregard,121.42272399068679
1660,Texas,Panola,1218.740397882535
726,Kentucky,Wayne,924.957094428406
826,Michigan,Iron,1352.7678178479937
1331,Oklahoma,Stephens,13318.013057818767
934,Mississippi,Smith,1945.0642833989323
11,Alabama,Choctaw,2744.4829379721477
415,Idaho,Twin Falls,300.4474657163555
105,Arkansas,Garland,4460.543237301509
681,Kentucky,Logan,714.1947865353459
1456,Tennessee,Rhea,1289.1987064994219
303,Georgia,Lee,3802.3665680153053
182,Florida,Indian River,2718.5708374233027
1629,Texas,Lubbock,188.03169440035072
220,Georgia,Baker,569.4894237887574
1885,New York,Erie,1102.8674232678322
1523,Texas,Collingsworth,2001.2212664536128
596,Iowa,Story,2718.7217801180805
788,Massachusetts,Norfolk,4909.556531920424
806,Michigan,Cheboygan,970.4044008127285
792,Michigan,Alger,381.5261665784883
591,Iowa,Ringgold,6779.147822862428
1587,Texas,Hill,3804.4157735170365
197,Florida,Nassau,1025.8984081606159
1281,Oklahoma,Craig,-367.6296335032612
1047,Missouri,Shelby,6410.471834173387
34,Alabama,Jackson,3078.1477096617555
1560,Texas,Freestone,254.68939437354584
601,Iowa,Wapello,2096.793168910758
1663,Texas,Pecos,-547.9708427432297
1276,Oklahoma,Cimarron,35.5522802046753
863,Michigan,Saginaw,2492.258201628999
579,Iowa,Monona,6336.392811275483
1589,Texas,Hood,3101.2442989942
597,Iowa,Tama,1427.8293808114922
312,Georgia,McDuffie,1745.58979787308
1739,Utah,Emery,801.0466649307646
271,Georgia,Fayette,970.4153491299276
891,Mississippi,Greene,2557.5717466231663
958,Missouri,Bates,3366.58478814705
1029,Missouri,Perry,2333.4690658490936
857,Michigan,Osceola,1042.8220354936402
518,Iowa,Benton,1081.8338467712892
1235,Ohio,Muskingum,8919.071068810845
938,Mississippi,Tate,17682.730912967978
820,Michigan,Hillsdale,2240.550873948875
333,Georgia,Quitman,1806.4330456076868
1502,Texas,Briscoe,263.1665083852304
466,Illinois,Macon,185.0696585322121
1617,Texas,Lamar,1903.3641187577023
732,Louisiana,Allen,1199.8327012245363
1009,Missouri,Livingston,-688.7586767654293
1301,Oklahoma,Kiowa,2709.841935929092
189,Florida,Levy,4323.779653142766
192,Florida,Manatee,3656.2723998625415
566,Iowa,Keokuk,-326.92001562378573
556,Iowa,Henry,976.4255123703633
1236,Ohio,Noble,423.3289182412
949,Mississippi,Winston,8613.553370659236
1874,New Hampshire,Coos,866.3154640274734
52,Alabama,Pickens,4404.107136622703
1390,Tennessee,Blount,154.3204412618461
1187,Ohio,Clark,535.3115739555169
1869,Virginia,Wythe,3015.440702789644
69,Arizona,Graham,1787.1423519003565
1239,Ohio,Perry,3334.6510664659445
1563,Texas,Garza,1481.6605248241804
150,Arkansas,Washington,14734.398600664099
1473,Tennessee,Warren,3009.945391711087
997,Missouri,Iron,808.2644791115899
1491,Texas,Baylor,2905.9331283348793
1197,Ohio,Erie,13.48125077376244
289,Georgia,Heard,162.49414708532368
1136,North Carolina,Mitchell,4222.266291171337
236,Georgia,Camden,2036.0117685747173
527,Iowa,Cass,6085.379584085163
965,Missouri,Callaway,5138.90202145581
1641,Texas,Menard,2358.1272494471878
739,Louisiana,Caddo,3121.9363661897505
436,Illinois,Edgar,2280.8103345215113
1645,Texas,Mitchell,3401.590088262413
1413,Tennessee,Grainger,668.6536192788926
817,Michigan,Gogebic,6030.92055237662
1701,Texas,Throckmorton,12147.613781861903
1109,North Carolina,Forsyth,2202.358818463511
905,Mississippi,Lafayette,10947.46737776003
845,Michigan,Menominee,7148.886434237435
1380,South Carolina,Saluda,24969.041011003213
1601,Texas,Jefferson,1998.929904810674
1858,Virginia,Spotsylvania,1736.1160657538285
86,Arkansas,Calhoun,1645.3979056677845
985,Missouri,Dunklin,1369.9288458851233
638,Kentucky,Crittenden,3504.957877072585
868,Michigan,Van Buren,1954.7370272384978
