,state,county,score
0,Alabama,Autauga,0
1,Alabama,Baldwin,0
2,Alabama,Barbour,0
3,Alabama,Bibb,0
4,Alabama,Blount,0
5,Alabama,Bullock,0
6,Alabama,Butler,0
7,Alabama,Calhoun,0
8,Alabama,Chambers,0
9,Alabama,Cherokee,0
10,Alabama,Chilton,0
11,Alabama,Choctaw,0
12,Alabama,Clarke,0
13,Alabama,Clay,0
14,Alabama,Cleburne,0
15,Alabama,Coffee,0
16,Alabama,Colbert,0
17,Alabama,Conecuh,0
18,Alabama,Coosa,0
19,Alabama,Covington,0
20,Alabama,Crenshaw,0
21,Alabama,Cullman,0
22,Alabama,Dale,0
23,Alabama,Dallas,0
24,Alabama,Elmore,0
25,Alabama,Escambia,0
26,Alabama,Etowah,0
27,Alabama,Fayette,0
28,Alabama,Franklin,0
29,Alabama,Geneva,0
30,Alabama,Greene,0
31,Alabama,Hale,0
32,Alabama,Henry,0
33,Alabama,Houston,0
34,Alabama,Jackson,0
35,Alabama,Jefferson,0
36,Alabama,Lamar,0
37,Alabama,Lauderdale,0
38,Alabama,Lawrence,0
39,Alabama,Lee,0
40,Alabama,Limestone,0
41,Alabama,Lowndes,0
42,Alabama,Macon,0
43,Alabama,Madison,0
44,Alabama,Marengo,0
45,Alabama,Marion,0
46,Alabama,Marshall,0
47,Alabama,Mobile,0
48,Alabama,Monroe,0
49,Alabama,Montgomery,0
50,Alabama,Morgan,0
51,Alabama,Perry,0
52,Alabama,Pickens,0
53,Alabama,Pike,0
54,Alabama,Randolph,0
55,Alabama,Russell,0
56,Alabama,Shelby,0
57,Alabama,Sumter,0
58,Alabama,Talladega,0
59,Alabama,Tallapoosa,0
60,Alabama,Tuscaloosa,0
61,Alabama,Walker,0
62,Alabama,Washington,0
63,Alabama,Wilcox,0
64,Alabama,Winston,0
65,Arizona,Apache,0
66,Arizona,Cochise,0
67,Arizona,Coconino,0
68,Arizona,Gila,0
69,Arizona,Graham,0
70,Arizona,Greenlee,0
71,Arizona,La Paz,0
72,Arizona,Maricopa,0
73,Arizona,Mohave,0
74,Arizona,Navajo,0
75,Arizona,Pima,0
76,Arizona,Pinal,0
77,Arizona,Santa Cruz,0
78,Arizona,Yavapai,0
79,Arizona,Yuma,0
80,Arkansas,Arkansas,0
81,Arkansas,Ashley,0
82,Arkansas,Baxter,0
83,Arkansas,Benton,0
84,Arkansas,Boone,0
85,Arkansas,Bradley,0
86,Arkansas,Calhoun,0
87,Arkansas,Carroll,0
88,Arkansas,Chicot,0
89,Arkansas,Clark,0
90,Arkansas,Clay,0
91,Arkansas,Cleburne,0
92,Arkansas,Cleveland,0
93,Arkansas,Columbia,0
94,Arkansas,Conway,0
95,Arkansas,Craighead,0
96,Arkansas,Crawford,0
97,Arkansas,Crittenden,0
98,Arkansas,Cross,0
99,Arkansas,Dallas,0
100,Arkansas,Desha,0
101,Arkansas,Drew,0
102,Arkansas,Faulkner,0
103,Arkansas,Franklin,0
104,Arkansas,Fulton,0
105,Arkansas,Garland,0
106,Arkansas,Grant,0
107,Arkansas,Greene,0
108,Arkansas,Hempstead,0
109,Arkansas,Hot Spring,0
110,Arkansas,Howard,0
111,Arkansas,Independence,0
112,Arkansas,Izard,0
113,Arkansas,Jackson,0
114,Arkansas,Jefferson,0
115,Arkansas,Johnson,0
116,Arkansas,Lafayette,0
117,Arkansas,Lawrence,0
118,Arkansas,Lee,0
119,Arkansas,Lincoln,0
120,Arkansas,Little River,0
121,Arkansas,Logan,0
122,Arkansas,Lonoke,0
123,Arkansas,Madison,0
124,Arkansas,Marion,0
125,Arkansas,Miller,0
126,Arkansas,Mississippi,0
127,Arkansas,Monroe,0
128,Arkansas,Montgomery,0
129,Arkansas,Nevada,0
130,Arkansas,Newton,0
131,Arkansas,Ouachita,0
132,Arkansas,Perry,0
133,Arkansas,Phillips,0
134,Arkansas,Pike,0
135,Arkansas,Poinsett,0
136,Arkansas,Polk,0
137,Arkansas,Pope,0
138,Arkansas,Prairie,0
139,Arkansas,Pulaski,0
140,Arkansas,Randolph,0
141,Arkansas,Saline,0
142,Arkansas,Scott,0
143,Arkansas,Searcy,0
144,Arkansas,Sebastian,0
145,Arkansas,Sevier,0
146,Arkansas,Sharp,0
147,Arkansas,Stone,0
148,Arkansas,Union,0
149,Arkansas,Van Buren,0
150,Arkansas,Washington,0
151,Arkansas,White,0
152,Arkansas,Woodruff,0
153,Arkansas,Yell,0
154,Colorado,Adams,0
155,Colorado,Alamosa,0
156,Colorado,Arapahoe,0
157,Colorado,Archuleta,0
